id,nom_estab,entidad,municipio,localidad
6166395,SOCIEDAD COOPERATIVA DE PRODUCCIÓN PESQUERA EN GENERAL GENERAL ALBERTO OVIEDO MOTA,BAJA CALIFORNIA,Mexicali,San Felipe
6166313,"SOCIEDAD COOPERATIVA DE PRODUCCIÓN PESQUERA ENSENADA, S.C.L.",BAJA CALIFORNIA,Ensenada,El Rosario de Arriba
6166256,SOCIEDAD COOPERATIVA DE PRODUCCIÓN PESQUERA LA PURÍSIMA,BAJA CALIFORNIA,Ensenada,Ensenada
6166302,"SOCIEDAD COOPERATIVA DE PRODUCCIÓN PESQUERA PESCADORES NACIONALES DE ABULÓN, S.C. DE RL",BAJA CALIFORNIA,Ensenada,Ensenada
6166252,SOCIEDAD COOPERATIVA DE PRODUCCIÓN PESQUERA PUNTA ABREOJOS SC DE RL,BAJA CALIFORNIA,Ensenada,Ensenada
6694597,SOCIEDAD COOPERATIVA DE PRODUCCIÓN PESQUERA RIVEREÑA ALTO GOLFO DE BC SC,BAJA CALIFORNIA,Mexicali,San Felipe
6166431,"SOCIEDAD COOPERATIVA DE PRODUCCIÓN PESQUERA RIVEREÑA MARELBA LEYMOR, S.C.L.",BAJA CALIFORNIA,Mexicali,San Felipe
6717192,SOCIEDAD COOPERATIVA DE PRODUCCIÓN PESQUERA TURISMO Y AGRÍCOLA OSTIÓN DEL PACÍFICO,BAJA CALIFORNIA,Ensenada,Puerto Viejo
6166360,SOCIEDAD COOPERATIVA DE PRODUCCIÓN PESQUERAISLAS DEL GOLFO S.C. DE RL DE CV.,BAJA CALIFORNIA,Mexicali,San Felipe
6166336,SOCIEDAD COOPERATIVA PUEBLO INDÍGENA CUCAPAH CHAPAY,BAJA CALIFORNIA,Mexicali,Comunidad Indígena Cucapah el Mayor
6166363,SOCIEDAD DE PESCADORES DE PANGAS RIBERENAS RAMON LUCERO S.P.R. DE RL,BAJA CALIFORNIA,Mexicali,San Felipe
6188996,"SOCIEDAD DE PESCADORES RIBERENOS DE SAN FELIPE, S.P.R. DE R.L.",BAJA CALIFORNIA,Mexicali,San Felipe
6189000,"SOCIEDAD DE PESCADORES RIBERENOS PUNTA ESTRELLA, S.P.R. DE R.L.",BAJA CALIFORNIA,Mexicali,San Felipe
6166404,SOCIEDAD DE PRODUCCIÓN RURAL DE CAMALUDE RL,BAJA CALIFORNIA,Ensenada,Camalú
6166275,"SOCIEDAD DE PRODUCCIÓN RURAL JUAÑAK JAH KAJUATH, S.P.R. DE RL",BAJA CALIFORNIA,Mexicali,Comunidad Indígena Cucapah el Mayor
6166346,SOCIEDAD DE PRODUCCIÓN RURAL PUNTA CANOAS S. DE R.L. DE C.V.,BAJA CALIFORNIA,Ensenada,Ensenada
6166279,"SOCIEDAD PESQUERA ISLA CONSAGA, S.P.R. DE RL",BAJA CALIFORNIA,Mexicali,San Felipe
6166280,"SOCIEDAD PESQUERA ISLA DE CONSAGA, S.P.R. DE RL",BAJA CALIFORNIA,Mexicali,San Felipe
6166274,"SOL AZUL, S.A. DE C.V.",BAJA CALIFORNIA,Ensenada,Ensenada
6188998,SPR HERMANOS VIERA DE RL,BAJA CALIFORNIA,Ensenada,El Rosario de Arriba
6166367,SPR VINATA COT DE RL,BAJA CALIFORNIA,Ensenada,El Rosario de Arriba
6189001,"SUR PACIFIC, S.P.R. DE R.L.",BAJA CALIFORNIA,Ensenada,Ejido Rubén Jaramillo
6166507,"UNIDAD DE PRODUCCIÓN EJIDAL EL CONSUELO, S.P.R. DE RL",BAJA CALIFORNIA,Ensenada,Ejido Valle Tranquilo
6166397,"UNIDAD DE PRODUCCIÓN PESQUERA DEL PACIFICO, S.P.R. DE RL",BAJA CALIFORNIA,Mexicali,Poblado el Caimán
6166386,UNIDAD DE PRODUCCIÓN PESQUERA VENUSTIANO CARRANZA,BAJA CALIFORNIA,Mexicali,San Felipe
6166514,UNIDAD PESQUERA RANCHO LOS POSITOS DE SRL,BAJA CALIFORNIA,Ensenada,Ejido 27 de Enero
6166309,"UNIDAD REGIONAL DE PRODUCCIÓN PESQUERA VENUSTIANO CARRANZA, S.P.R. DE RL",BAJA CALIFORNIA,Ensenada,Venustiano Carranza (Santa María)
6166345,"UNIÓN DE PESCADORES DE PUNTA COLONET, S.P.R. DE RL",BAJA CALIFORNIA,Ensenada,Licenciado Gustavo Díaz Ordaz
6166500,UPP AUTENTICOS PESCADORES MORRO ROSARITO,BAJA CALIFORNIA,Playas de Rosarito,Puerto Popotla
